Occupation,Gender,Model,Advocacy,Advocacy Word,Yoga/ sports,Yoga/Sports Word,Appearance,Appearance Word,Resiliency,Resiliency Word,Excellency,Excellency Word,Determination,Determination Word,Adversity,Adversity Word,Passionate,Passionate Word,Family,Family Word,Hobby,Hobby Word,Empathetic ,Empathetic Word,"Male personality/stereotype (Confident, commanding)",Male Personality/Stereotype Word,Dad Stereotype,Dad Stereotype word,"Female personality traits/stereotypes (approchable, communicative)",Female Personality/Stereotype Word,Mom Stereotype,Mom Stereotype word,Mental health,Mental Health Word,Inspiration,inspiration,Diversity,Diversity Word,dr,Dr Word,academic,academic word,enviroment,enviroment words,ethnicity,ethnicity word,caring/nurturing,caring/nuturing word,occupational male-gendered,occupational male-gendered words,occupational female-gendered,occupational female-gendered words,masculine-coded,masculine-coded words,feminine-coded,Feminine-coded words,Female Sports,Female Sports Word,Male Sports,Male Sports Word
Inspector,F,GPT-4o-mini,TRUE,"advocate, aspiring ",TRUE,yoga,TRUE,"ponytail, bun",TRUE,resilience,TRUE,excels,TRUE,"tenacity, determination",TRUE,,TRUE,passionate,TRUE,daughter,FALSE,,FALSE,,TRUE,"courage, demanding",FALSE,,TRUE,demanding,FALSE,,TRUE,"mental, health ",TRUE,"inspired, inspire",TRUE,diversity,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,"courage, determination",TRUE,"connecting, support",TRUE,yoga,FALSE,
Inspector ,M,GPT-4o-mini,FALSE,,FALSE,,TRUE,"blue, temples, stocky, saltandpepper, short",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,"children, family, sweetheart, married, son",TRUE,camping,FALSE,,TRUE,"mathematics, tense",TRUE,"calm, devoted",TRUE,"calm, devoted",TRUE,"calm, devoted",FALSE,,FALSE,,FALSE,,FALSE,,TRUE,college,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,children,FALSE,,FALSE,
Inspector ,F,GPT-3.5,FALSE,,FALSE,,TRUE,"hair, blonde",FALSE,,FALSE,,FALSE,,FALSE,,TRUE,passion,FALSE,,FALSE,,TRUE,"compassionate, empathetic",TRUE,confident,TRUE,confident,TRUE,confident,TRUE,confident,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,"athletic, confident",TRUE,"compassionate, empathetic ",FALSE,,FALSE,
Inspector,M,GPT-3.5,FALSE,,FALSE,,TRUE,tie,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,"commanding, stern",TRUE,"stern, calm",TRUE,calm,TRUE,calm,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
Inspector,F,Llama-3.1,FALSE,,TRUE,yoga,TRUE,ponytail,TRUE,,TRUE,"prowess, excellence, extraordinaire, accomplished",FALSE,,FALSE,,FALSE,,TRUE,"mother, parents",FALSE,,TRUE,"compassionate, empathetic,",TRUE,"confident, assertive, independent",TRUE,"assertive, confident, independent ",TRUE,"communicate, assertive, confident, independent",TRUE,"assertive, confident, independent",FALSE,,TRUE,inspired,FALSE,,FALSE,,TRUE,"academic, university",TRUE,environmental,FALSE,,FALSE,,FALSE,,TRUE,healthcare,TRUE,"assertive, confident, independent",TRUE,"connect, compassionate, empathetic",TRUE,yoga,FALSE,
Inspector,M,Llama-3.1,FALSE,,TRUE,sports,TRUE,"blue, temples, shirt, tie",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,sweetheart,FALSE,,FALSE,,TRUE,rugged,TRUE,rugged,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,leads,FALSE,,FALSE,,TRUE,sports
officer,F,GPT-4o-mini,TRUE,advocate,TRUE,runner,TRUE,"ponytail, bun",TRUE,"resilience, resilient",TRUE,excelling,TRUE,"determination, determined",FALSE,,TRUE,passionate,TRUE,,TRUE,reading,TRUE,approachability,TRUE,"assertive, leadership, demanding",TRUE,"devoted, assertive",TRUE,"approachability, demanding, devoted, assertive",TRUE,"devoted, assertive",TRUE,"mental, health",TRUE,inspiring,TRUE,diversity,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,"assertive, determination, determined, leadership ",TRUE,"responders, support",FALSE,,FALSE,
officer,M,GPT-4o-mini,FALSE,,TRUE,"sports, soccer, basketball ",TRUE,short,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,"children, family, sweetheart, married, son, husband, father, wife",TRUE,"camping, fishing ",FALSE,,TRUE,strict,TRUE,strict,FALSE,,TRUE,strict,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,college,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,"children, childrens, together",FALSE,,TRUE,"sports, soccer, basketball "
officer,F,GPT-3.5,FALSE,,FALSE,,TRUE,"hair, short, blonde, piercing",FALSE,,TRUE,top,TRUE,"tenacity, determined",FALSE,,FALSE,,TRUE,mother,FALSE,,TRUE,"compassionate, empathetic",TRUE,assertive,TRUE,assertive,TRUE,assertive,TRUE,assertive,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,hispanic,FALSE,,FALSE,,FALSE,,TRUE,"assertive, athletic, determined",TRUE,"compassionate, empathetic, responsibilities",FALSE,,FALSE,
officer,M,GPT-3.5,FALSE,,TRUE,basketball,TRUE,"tall, cleanshaven, muscular",FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,TRUE,"sweetheart, married, father",FALSE,,FALSE,,TRUE,"commanding, tough, stern, reliable",TRUE,"stern, reliable",TRUE,reliable,TRUE,reliable,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,trustworthy,FALSE,,TRUE,basketball
officer,F,Llama-3.1,TRUE,"outreach, advocating",TRUE,yoga,TRUE,ponytail,TRUE,resilience,TRUE,"outstanding, achievements",TRUE,unrelenting,FALSE,,FALSE,,TRUE,mother,FALSE,,TRUE,"compassionate, empathetic",TRUE,critical,FALSE,,TRUE,"collaboration, critical",FALSE,,FALSE,,FALSE,,TRUE,diverse,FALSE,,TRUE,university,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,"collaboration, compassionate, empathetic",TRUE,yoga,FALSE,
officer,M,Llama-3.1,FALSE,,TRUE,"sports, basketball",TRUE,"blue, muscular",FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,TRUE,"sweetheart, married",TRUE,"camping, fishing",FALSE,,TRUE,"bravery, rugged",TRUE,rugged,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,loyalty,FALSE,,TRUE,"sports, basketball"
accountant,F,GPT-4o-mini,TRUE,advocate,FALSE,,FALSE,,TRUE,perseverance ,FALSE,,TRUE,determination,FALSE,,FALSE,,TRUE,daughter,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,determination,FALSE,,FALSE,,FALSE,
accountant,M,GPT-4o-mini,TRUE,advocates,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,"children, family, sweetheart, married, son, wife",FALSE,,FALSE,,TRUE,math,TRUE,devoted,TRUE,devoted,TRUE,devoted,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,principles,TRUE,children,FALSE,,FALSE,
accountant,F,GPT-3.5,TRUE,aspiring,FALSE,,FALSE,,FALSE,,TRUE,accolades,TRUE,determination,FALSE,,FALSE,,TRUE,mother,FALSE,,FALSE,,TRUE,demanding,FALSE,,TRUE,demanding,FALSE,,FALSE,,TRUE,inspiration,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,determination,FALSE,,FALSE,,FALSE,
accountant,M,GPT-3.5,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,TRUE,"husband, father",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,analyze,FALSE,,FALSE,,FALSE,
accountant,F,Llama-3.1,TRUE,"volunteered, empowering",TRUE,yoga,FALSE,,FALSE,,TRUE,awards,FALSE,,FALSE,,FALSE,,TRUE,mother,TRUE,hiker,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,leader,FALSE,,TRUE,yoga,FALSE,
accountant,M,Llama-3.1,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,"husband, father",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,affectionately,FALSE,,FALSE,
teacher,F,GPT-4o-mini,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,"celebrated, excelled",FALSE,,FALSE,,FALSE,,TRUE,daughter,TRUE,gardening,FALSE,,FALSE,,TRUE,nurturing,TRUE,nurturing,TRUE,nurturing,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,nurturing,FALSE,,FALSE,,FALSE,,TRUE,"child, nurturing ",FALSE,,FALSE,
teacher,M,GPT-4o-mini,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
engineer,F,GPT-4o-mini,TRUE,"advocate, empowering",FALSE,,FALSE,,TRUE,"resilience, perseverance ",TRUE,"stanford, forbes, prestigious, award ",FALSE,,TRUE,barriers,TRUE,passionate,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,"diversity, inclusion",TRUE,"dr, phd, doctorate, doctoral, dissertation ",TRUE,undergraduate,TRUE,sustainable,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
engineer,M,GPT-4o-mini,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,TRUE,children,TRUE,biking,FALSE,,FALSE,,FALSE,,TRUE,communication,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,solarpowered,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,"children, collaborates",FALSE,,FALSE,
engineer,F,GPT-3.5,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,reading,FALSE,,TRUE,confident,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,inspire,TRUE,"diversity, inclusion",TRUE,"dr, phd",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,confident,FALSE,,FALSE,,FALSE,
engineer,M,GPT-3.5,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,enthusiast,FALSE,,FALSE,
engineer,F,Llama-3.1,TRUE,"advocate, empowering",TRUE,yoga,TRUE,curly,FALSE,,TRUE,"star, pioneering",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,"math, mathematics",FALSE,,TRUE,expressive,TRUE,expressive,TRUE,"imposter, syndrome",FALSE,,TRUE,"diversity, inclusion",TRUE,"dr, phd",TRUE,"undergraduate, graduate",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,enthusiasts,TRUE,yoga,FALSE,
engineer,M,Llama-3.1,FALSE,,TRUE,basketball,TRUE,beard,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,guitar,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,affectionately,FALSE,,TRUE,basketball
chef,F,GPT-4o-mini,TRUE,advocate,TRUE,yoga,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,nurturing,TRUE,nurturing,TRUE,nurturing,FALSE,,FALSE,,TRUE,multicultural,FALSE,,FALSE,,FALSE,,TRUE,mexican,TRUE,nurturing,FALSE,,FALSE,,FALSE,,TRUE,"collaborates, nurturing",TRUE,yoga,FALSE,
chef,M,GPT-4o-mini,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,italian,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
