occupation	bergsma_pct_female	bls_pct_female	bls_year
technician	9.42	36.96	2024
accountant	9.26	57.2	2024
supervisor	36.02	38.95	2024
engineer	1.99	14.92	2024
worker	13.43	37.92	2016
educator	42.32	65.9	2024
clerk	56.0	69.53	2015
counselor	46.45	69.35	2024
inspector	2.35	11.5	2024
mechanic	0.89	1.8	2015
manager	5.18	38.51	2015
therapist	61.86	76.17	2024
administrator	10.9	56.20	2024
salesperson	35.79	46.51	2024
receptionist	67.22	88.4	2024
librarian	85.58	89.2	2024
advisor	13.37	33.8	2024
pharmacist	11.53	59.7	2024
janitor	4.2	35.9	2024
psychologist	33.15	74.01	2024
physician	8.41	44.5	2024
carpenter	11.99	4.2	2024
nurse	88.31	86.8	2024
investigator	5.29	48.88	2024
bartender	20.42	54.3	2024
specialist	20.22	41.35	2016
electrician	0.8	2.9	2024
officer	7.29	30.42	2016
pathologist	11.48	95.4	2024
teacher	54.35	73.0	2024
lawyer	7.35	42.0	2024
planner	20.96	75.3	2024
practitioner	34.19	66.6	2024
plumber	3.34	3.2	2024
instructor	16.07	63.2	2024
surgeon	4.34	20.0	2023
veterinarian	35.55	68.6	2025
paramedic	7.52	25.3	2024
examiner	6.9	60.66	2024
chemist	10.13	46.3	2024
machinist	6.11	4.8	2024
appraiser	20.33	54.26	2024
nutritionist	27.27	92.1	2024
architect	2.83	27.4	2024
hairdresser	80.11	91.3	2024
baker	8.93	67.1	2024
programmer	4.04	17.8	2024
paralegal	81.3	85.4	2024
hygienist	25.0	93.9	2024
scientist	3.29	49.35	2024
dispatcher	68.57	57.5	2024
cashier	67.46	68.9	2024
auditor	28.04	57.2	2024
dietitian	86.49	92.1	2024
painter	11.65	10.8	2024
broker	13.62	56.7	2024
chef	6.66	21.6	2024
doctor	9.2	44.5	2024
firefighter	3.09	6.2	2024
secretary	10.43	91.93	2024
software engineer		20.3	2024
cook		42.5 	2024
pilot		9.6	2024
