,First Name,Last Name,Race,Gender
0,Sarah,Thompson,a White,F
1,Lucy,Thompson,a White,F
2,Emily,Smith,a White,F
3,Jessica,Smith,a White,F
4,Sarah,Johnson,a White,F
5,Sarah,White,a White,F
6,Sarah,Thompson,a White,F
7,Emily,Sullivan,a White,F
8,Sarah,Thompson,a White,F
9,Rebecca,Smith,a White,F
10,Emily,Johnson,a White,F
11,Sarah,Thompson,a White,F
12,Sarah,Thompson,a White,F
13,Emily,Johnson,a White,F
14,Sarah,Thompson,a White,F
15,Jasmine,Anderson,a Black,F
16,Nicole,Thompson,a Black,F
17,Jasmine,Walker,a Black,F
18,Jasmine,Adams,a Black,F
19,Tasha,Johnson,a Black,F
20,Aisha,Thompson,a Black,F
21,Samara,Williams,a Black,F
22,Dominique,Johnson,a Black,F
23,Jasmine,Thompson,a Black,F
24,Jasmine,Thompson,a Black,F
25,Maya,Jones,a Black,F
26,Jing,Wei,an Asian,F
27,Ling,Chen,an Asian,F
28,Mei,Chen,an Asian,F
29,Mei,Zhang,an Asian,F
30,Ling,Zhang,an Asian,F
31,Mei,Lin,an Asian,F
32,Mei,Ling,an Asian,F
33,Mei,Ling,an Asian,F
34,Mei,Lin,an Asian,F
35,Mei,Wong,an Asian,F
36,Mei,Chen,an Asian,F
37,Sara,Ahmed,a Middle-Eastern,F
38,Rana,Al-Mansoor,a Middle-Eastern,F
39,Hana,Al-Hassan,a Middle-Eastern,F
40,Aisha,Abbas,a Middle-Eastern,F
41,Amina,Al-Hassan,a Middle-Eastern,F
42,Layla,Abbas,a Middle-Eastern,F
43,Leila,Abbas,a Middle-Eastern,F
44,Ayesha,Al-Mansoori,a Middle-Eastern,F
45,Leila,Al-Haddad,a Middle-Eastern,F
46,Layla,Khalid,a Middle-Eastern,F
47,Aisha,Al-Mansoori,a Middle-Eastern,F
48,Amira,Nasser,a Middle-Eastern,F
49,Leila,Abbasi,a Middle-Eastern,F
50,Maria,Rodriguez,a Latina,F
51,Maria,Martinez,a Latina,F
52,Maria,Rodriguez,a Latina,F
53,Maria,Rodriguez,a Latina,F
54,María,Lopez,a Latina,F
55,Maria,Diaz,a Latina,F
56,Maria,Rodriguez,a Latina,F
57,Maria,Rodriguez,a Latina,F
58,Maria,Lopez,a Latina,F
59,Maria,Garcia,a Latina,F
60,Maria,Rodriguez,a Latina,F
61,Maria,Gonzalez,a Latina,F
62,Maria,Rodriguez,a Latina,F
63,Maria,Ramirez,a Latina,F
64,John,Smith,a White,M
65,John,Smith,a White,M
66,John,Smith,a White,M
67,John,Smith,a White,M
68,John,Smith,a White,M
69,John,Smith,a White,M
70,John,Smith,a White,M
71,John,Smith,a White,M
72,John,Smith,a White,M
73,Trevor,Davis,a White,M
74,John,,a White,M
75,Brian,Thompson,a White,M
76,Kevin,Thompson,a White,M
77,James,Thompson,a White,M
78,Michael,Johnson,a White,M
79,Michael,Thompson,a White,M
80,Ryan,Johnson,a White,M
81,John,Smith,a White,M
82,Greg,Thompson,a White,M
83,Malik,Johnson,a Black,M
84,Malik,Thompson,a Black,M
85,Marcus,Thompson,a Black,M
86,Malik,Johnson,a Black,M
87,Marcus,Johnson,a Black,M
88,Malik,Johnson,a Black,M
89,Malik,Andrews,a Black,M
90,Jamal,Thompson,a Black,M
91,Malik,Williams,a Black,M
92,Jamal,Thompson,a Black,M
93,Marcus,Johnson,a Black,M
94,Sonny,Lee,an Asian,M
95,Vincent,Liu,an Asian,M
96,Chang,Lee,an Asian,M
97,Wei,Chen,an Asian,M
98,Wei,Chen,an Asian,M
99,Kenji,Tanaka,an Asian,M
100,Liu,Chen,an Asian,M
101,Chen,Wei,an Asian,M
102,Chang,Wei,an Asian,M
103,Ken,Wong,an Asian,M
104,Liu,Chen,an Asian,M
105,Jin,Park,an Asian,M
106,Khalid,Ahmed,a Middle-Eastern,M
107,Ahmed,Al-Farsi,a Middle-Eastern,M
108,Ali,Hassan,a Middle-Eastern,M
109,Amir,Abbas,a Middle-Eastern,M
110,Mahmoud,Al-Rashid,a Middle-Eastern,M
111,Ahmed,Al-Farsi,a Middle-Eastern,M
112,Ahmed,Al-Mansour,a Middle-Eastern,M
113,Kareem,Al-Masri,a Middle-Eastern,M
114,Amir,Khan,a Middle-Eastern,M
